sample_id,text,pose_path
train_000000,Hơn 50.000 ngôi nhà của người dân bị ngập do mưa lũ.,/workspace/datdq/SignWeather/data/scene_keypoints/v183/scene_006.json
train_000002,nước lũ dâng cao ở 11 làng mạc trên đảo. Một số tuyến đường cao tốc và các cây cầu bị ngập nước.,/workspace/datdq/SignWeather/data/scene_keypoints/v148/scene_006.json
train_000004,"Đến ngày Chủ nhật, trời sẽ ấm lên nhanh và nhiệt độ tăng lên mức là 24 độ.",/workspace/datdq/SignWeather/data/scene_keypoints/v067/scene_007.json
train_000005,"Từ Quảng Trị đến Quảng Ngãi, trời cũng chuyển dét với nhiệt độ thấp nhất là 14 đến 18 độ.",/workspace/datdq/SignWeather/data/scene_keypoints/v267/scene_005.json
train_000006,"Vùng trung tâm liên bang Phần Châu của nước Nga cũng chứng kiến được nắng nóng bất thường,",/workspace/datdq/SignWeather/data/scene_keypoints/v051/scene_004.json
train_000007,"Còn từ sáng đến chiều trời nắng 20 độ, ban đêm khá là rét 16 độ.",/workspace/datdq/SignWeather/data/scene_keypoints/v137/scene_008.json
train_000012,"Đà Nẵng sẽ có mưa rào bất chợt trong đêm nay, với nhiệt độ mát mẻ khoảng 25 độ.",/workspace/datdq/SignWeather/data/scene_keypoints/v034/scene_009.json
train_000014,"vì đây là lúc rét nhất của đợt, nhiệt độ sẽ dưới mức 0 độ C.",/workspace/datdq/SignWeather/data/scene_keypoints/v009/scene_006.json
train_000018,Chiều tối mưa rào thoáng qua.,/workspace/datdq/SignWeather/data/scene_keypoints/v195/scene_011.json
train_000020,"Vâng, hiện tại không khí lạnh đã gây mưa và gió rét tới một số nơi ở vùng núi phía Bắc",/workspace/datdq/SignWeather/data/scene_keypoints/v009/scene_001.json
train_000021,"Còn với 4 ngày đầu tuần, khả năng là trời vẫn rét về đêm và sáng sớm khi nhiệt độ dưới 15 độ.",/workspace/datdq/SignWeather/data/scene_keypoints/v137/scene_005.json
train_000022,"Chào chị Hương Liên, miền Bắc của chúng ta vừa trải qua một đợt mưa lớn,",/workspace/datdq/SignWeather/data/scene_keypoints/v017/scene_002.json
train_000028,Nguy cơ rất cao xảy ra hiện tượng lũ quét sạt lở đất,/workspace/datdq/SignWeather/data/scene_keypoints/v207/scene_005.json
train_000031,"Giống như nhiều địa phương miền Trung khác, chỉ trong ba tuần, Thừa Thiên Huế đã phải hứng chịu ba trận lũ liên tiếp, với mực nước trên sông Bồ vượt mức lũ lịch sử ghi nhận vào năm 1999.",/workspace/datdq/SignWeather/data/scene_keypoints/v046/scene_004.json
train_000032,"Nhiệt độ thấp, độ ẩm cao cùng với gió sẽ khiến quý vị cảm thấy rét hơn khoảng 2-3 độ khi ra đường vào buổi tối.",/workspace/datdq/SignWeather/data/scene_keypoints/v174/scene_005.json
train_000033,"Những vùng mây rông phát triển đậm đặc và gây mưa, tức là những vùng màu cam và đỏ đậm",/workspace/datdq/SignWeather/data/scene_keypoints/v029/scene_003.json
train_000039,"Thành phố Nha Trang đêm nay không có mưa, trời mát với nhiệt độ 26 độ.",/workspace/datdq/SignWeather/data/scene_keypoints/v036/scene_016.json
train_000041,Từ đêm nay thì mưa sẽ tăng dần lên ở khu vực Bình Định đến Ninh Thuận và cả Nam Tây Nguyên.,/workspace/datdq/SignWeather/data/scene_keypoints/v063/scene_003.json
train_000043,"Sang ngày mai, dự báo nhiệt độ sẽ tăng thêm 1-2 độ nữa.",/workspace/datdq/SignWeather/data/scene_keypoints/v133/scene_005.json
train_000049,Mưa sẽ còn trong tối nay và ngày mai nữa.,/workspace/datdq/SignWeather/data/scene_keypoints/v076/scene_005.json
train_000054,Còn khu vực Hà Tĩnh đến Quảng Ngãi mưa kéo dài 2 ngày tới.,/workspace/datdq/SignWeather/data/scene_keypoints/v188/scene_018.json
train_000056,và đến cuối tuần có thể lên 34 độ.,/workspace/datdq/SignWeather/data/scene_keypoints/v139/scene_006.json
train_000058,tiến về phía vịnh Bắc Bộ và đến khoảng chiều mai thì bão sẽ đổ bộ vào đất liền,/workspace/datdq/SignWeather/data/scene_keypoints/v229/scene_007.json
train_000063,Nguy cơ sạt lở sẽ gia tăng khi mưa quay trở lại.,/workspace/datdq/SignWeather/data/scene_keypoints/v081/scene_004.json
train_000064,"Theo Cơ quan khí tượng địa phương, mưa đá có đường kính từ 1 đến 3 cm đã rơi xuống một số địa phương và hòn đảo phía đông thành phố.",/workspace/datdq/SignWeather/data/scene_keypoints/v069/scene_002.json
